Customer Name,Customer e-mail,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount
Michael Brown,mark.thompson@example.com,UK,1,38,64255.91,5513.49,1544163.9,95098.15
Jane Smith,daniel.anderson@example.com,Australia,1,64,76713.77,31013.28,1248880.07,48708.16
Alex Johnson,lisa.white@example.com,Australia,1,32,83195.63,7145.93,232641.69,65005.88
John Doe,steven.martinez@example.com,Germany,0,27,126047.93,16047.8,560410.04,83233.5
John Doe,michael.brown@example.com,UK,0,22,39728.41,2832.59,791932.01,73258.54
Lisa White,sarah.wilson@example.com,USA,0,29,80598.23,5601.04,885293.22,60204.54
Emily Davis,andrew.martin@example.com,Canada,0,61,164545.95,21205.21,777174.8,13674.19
Mark Thompson,lisa.white@example.com,USA,1,32,129128.11,12316.37,232550.77,83072.31
Jessica Taylor,chris.lee@example.com,Germany,0,35,93449.79,19700.63,1375252.15,19344.23
Michael Brown,daniel.anderson@example.com,USA,1,63,73234.54,12035.14,601164.58,10901.45
Sarah Wilson,patricia.garcia@example.com,USA,1,61,55250.53,24616.44,450990.66,35930.48
Mark Thompson,lisa.white@example.com,Australia,0,48,116638.63,1627.02,638137.34,80563.22
Michael Brown,michael.brown@example.com,UK,1,40,89669.78,13755.29,1141050.62,48770.12
Emily Davis,john.doe@example.com,Canada,0,22,113867.39,26764.68,408860.54,40117.23
Alex Johnson,mark.thompson@example.com,UK,0,54,162492.36,1962.52,1462899.5,52478.14
Sarah Wilson,john.doe@example.com,USA,1,43,109860.79,26324.89,610265.36,63495.94
Emily Davis,jane.smith@example.com,Australia,0,34,144589.31,21931.77,401328.94,93284.15
Jane Smith,john.doe@example.com,USA,0,30,85767.76,19686.02,350805.35,50698.26
Sarah Wilson,mark.thompson@example.com,Germany,1,61,97661.13,31697.35,1263137.84,70016.28
Emily Davis,sarah.wilson@example.com,USA,0,24,103877.45,31517.7,411390.45,57325.53
Jessica Taylor,lisa.white@example.com,Germany,1,47,100515.4,25613.02,818518.41,86423.08
Mark Thompson,jessica.taylor@example.com,Canada,0,31,42816.45,15217.51,1394759.14,51325.1
Alex Johnson,andrew.martin@example.com,Germany,0,55,148165.28,17027.06,614600.89,31295.72
Daniel Anderson,lisa.white@example.com,Canada,0,66,64343.47,31806.97,536675.76,81778.99
Michael Brown,patricia.garcia@example.com,Australia,1,57,85023.6,6322.47,1612380.72,50821.55
Daniel Anderson,jane.smith@example.com,Germany,1,24,99138.6,15221.04,772344.32,26206.23
Sarah Wilson,chris.lee@example.com,Germany,1,30,114597.41,19661.43,828957.04,59878.37
Jane Smith,andrew.martin@example.com,USA,0,65,57046.64,34677.43,791016.23,52862.41
Jessica Taylor,patricia.garcia@example.com,USA,1,55,76731.87,28720.26,1531324.95,19338.24
Daniel Anderson,andrew.martin@example.com,Australia,1,46,123272.79,13973.69,445441.49,5067.98
Chris Lee,emily.davis@example.com,Canada,0,42,29727.08,14070.9,822492.37,5385.21
Patricia Garcia,mark.thompson@example.com,USA,0,39,99879.89,21155.93,829874.87,5638.17
Andrew Martin,mark.thompson@example.com,Canada,0,55,33449.15,4264.91,386154.39,83156.75
Steven Martinez,karen.clark@example.com,UK,1,56,77187.43,18661.11,404725.43,8474.63
Jane Smith,sarah.wilson@example.com,USA,1,29,159557.57,25147.15,610920.63,23635.71
Michael Brown,karen.clark@example.com,USA,0,31,164215.49,6651.93,922196.26,11241.17
Jane Smith,andrew.martin@example.com,Germany,0,28,91006.7,7251.73,805339.8,6909.85
Chris Lee,patricia.garcia@example.com,USA,1,48,43436.37,12044.98,1048750.6,64239.5
Alex Johnson,steven.martinez@example.com,USA,0,27,69924.63,11830.65,573325.23,29158.97
Steven Martinez,chris.lee@example.com,USA,1,23,68069.55,21111.84,175331.4,31256.64
Andrew Martin,john.doe@example.com,Germany,0,69,52196.79,17400.33,915388.23,28144.49
Patricia Garcia,daniel.anderson@example.com,USA,1,37,75589.37,1643.46,1259815.36,96883.26
Emily Davis,alex.johnson@example.com,Germany,0,34,83087.96,21332.4,851630.83,12391.56
Alex Johnson,alex.johnson@example.com,Germany,0,67,117802.33,22844.16,1671654.42,66817.42
Sarah Wilson,sarah.wilson@example.com,Australia,1,52,68410.68,8460.71,498766.45,66346.72
Mark Thompson,chris.lee@example.com,Canada,0,45,60547.32,27015.61,1615562.91,23240.27
Lisa White,karen.clark@example.com,UK,0,55,86759.3,11579.37,463134.76,57388.14
Jane Smith,emily.davis@example.com,Germany,1,49,81900.07,18897.86,230050.1,29794.17
Steven Martinez,jessica.taylor@example.com,Germany,1,35,45638.93,29201.68,775294.87,18885.41
Lisa White,alex.johnson@example.com,Canada,0,66,65870.17,15216.15,440748.29,5786.66
John Doe,daniel.anderson@example.com,Canada,0,66,70504.43,7929.03,1233025.65,35487.3
Alex Johnson,alex.johnson@example.com,Germany,1,66,141305.44,32099.95,528145.61,89868.27
Jane Smith,john.doe@example.com,USA,0,66,59105.44,19355.32,188609.74,93515.59
Chris Lee,andrew.martin@example.com,Germany,0,45,134435.12,29735.32,727455.39,77079.52
Andrew Martin,emily.davis@example.com,Australia,0,24,47831.03,2127.27,1212527.04,85604.39
John Doe,karen.clark@example.com,UK,0,39,67766.47,14758.03,1186613.84,19233
Mark Thompson,sarah.wilson@example.com,Australia,1,56,52643.33,9682.55,413635.23,16582.71
Sarah Wilson,john.doe@example.com,Canada,0,49,68041.3,24316.51,588334.69,90479.52
Lisa White,john.doe@example.com,Canada,0,53,76755.47,4129.6,451022.96,53943.66
Chris Lee,daniel.anderson@example.com,Germany,1,62,102683.55,12282.08,207293.34,61718.84
John Doe,patricia.garcia@example.com,Germany,1,69,40049.18,29210.41,263528.39,83066.65
Andrew Martin,emily.davis@example.com,USA,1,68,192895.94,29977.45,273454.14,96977.52
John Doe,chris.lee@example.com,Germany,0,65,142283.29,33271.16,1268364.57,33542.28
Alex Johnson,chris.lee@example.com,Canada,1,28,88233.88,8797.5,943656.26,16102.31
Jane Smith,jessica.taylor@example.com,Canada,0,64,150360.92,23191.22,1280402.44,21956.15
Sarah Wilson,lisa.white@example.com,USA,1,37,133070.56,19755.92,720853.14,76375.64
Chris Lee,andrew.martin@example.com,Canada,1,18,138590.66,17951.9,772653.19,21581.98
Michael Brown,steven.martinez@example.com,USA,1,57,66425.04,21289.66,764562.45,48897.74
Karen Clark,jane.smith@example.com,USA,0,60,60356.06,10843.29,219291.81,79580.07
Lisa White,patricia.garcia@example.com,Canada,0,42,141015.48,12575.1,750250.27,6030.5
Daniel Anderson,chris.lee@example.com,USA,0,23,178662.33,4573.22,1176364.67,39813.83
Mark Thompson,alex.johnson@example.com,Canada,0,34,44528.73,1101.56,1516202.37,15441.47
Michael Brown,jane.smith@example.com,Germany,1,60,76244.73,11080.2,855900.17,81469.92
Daniel Anderson,sarah.wilson@example.com,Germany,0,58,73058.08,24917.55,1147844.07,70807.62
John Doe,michael.brown@example.com,USA,0,64,121878.12,28394.03,1179680.74,89391.88
Chris Lee,emily.davis@example.com,UK,1,46,67684.75,32006.98,631641.76,33308.08
Alex Johnson,sarah.wilson@example.com,USA,0,23,84303.59,25941.75,1359193.59,26343.94
Steven Martinez,emily.davis@example.com,Canada,0,21,36068.78,15637.35,777319.22,72940.73
Emily Davis,emily.davis@example.com,Canada,1,22,81914.82,31448.84,616408.39,22164.28
Alex Johnson,daniel.anderson@example.com,USA,0,21,55868.76,22514.29,998626.65,29836.63
Alex Johnson,michael.brown@example.com,Canada,0,22,41625.45,3287.96,422128.44,21413.75
Mark Thompson,alex.johnson@example.com,Australia,0,28,52306.87,10376.72,224716.83,41352.86
Mark Thompson,jessica.taylor@example.com,USA,0,37,163916.46,26727.39,801318.62,95400.29
Sarah Wilson,mark.thompson@example.com,Canada,0,27,67807.54,17565.92,446301.39,72244.18
Emily Davis,jessica.taylor@example.com,USA,0,64,127493.88,1521.73,415601.64,42590.48
Emily Davis,sarah.wilson@example.com,USA,0,23,55589.34,30092.34,1539156.85,28330.44
Michael Brown,chris.lee@example.com,USA,0,51,103140.21,6126.76,429020.91,87101.17
Chris Lee,chris.lee@example.com,Canada,0,51,138747.12,34313.81,739723.42,60883.67
Sarah Wilson,alex.johnson@example.com,Canada,1,70,55766.35,9213.48,1111133.33,70617.85
Jane Smith,sarah.wilson@example.com,Germany,1,69,147471.63,3144.89,186391.51,85598.81
Daniel Anderson,emily.davis@example.com,Canada,1,37,112849.44,7519.65,568912,72124.49
Jessica Taylor,jane.smith@example.com,Germany,0,66,81164.43,2322.66,1829000.9,10969.62
Jane Smith,patricia.garcia@example.com,UK,1,36,98466.85,12368.03,619539.94,41698.83
Alex Johnson,sarah.wilson@example.com,USA,0,46,66128.46,19334.21,754036.16,74002.79
Jessica Taylor,emily.davis@example.com,Germany,0,59,73785.39,31414.34,1477404.17,93072.83
Michael Brown,karen.clark@example.com,USA,1,40,131283.05,21497.43,1292449.95,76546.72
John Doe,john.doe@example.com,UK,1,61,79435.46,32998.74,801981.6,57099.38
Sarah Wilson,chris.lee@example.com,Canada,0,66,188118.06,4201.55,1870057.13,86361.14
Steven Martinez,steven.martinez@example.com,UK,1,69,84642.5,29304.2,1789182.34,89460.22
Jessica Taylor,mark.thompson@example.com,USA,1,38,70227.16,13001.4,942217.31,22336.62
Emily Davis,sarah.wilson@example.com,Canada,0,55,79358.73,18733.74,771938.65,48813.35
Steven Martinez,mark.thompson@example.com,USA,1,54,126405.23,17947.76,312622.47,80373.36
Michael Brown,jessica.taylor@example.com,Canada,0,20,184093.84,27629.54,1041511.71,79237.28
Steven Martinez,sarah.wilson@example.com,UK,0,66,76094.13,16155.03,601234.2,20324.19
Steven Martinez,steven.martinez@example.com,Canada,0,22,158866.04,15447.97,1826318.48,56630.91
John Doe,patricia.garcia@example.com,Australia,0,53,153369.76,973.89,899159.1,45136.89
Emily Davis,emily.davis@example.com,Canada,0,70,83124.29,1481.58,1842699.26,61568.93
Mark Thompson,mark.thompson@example.com,Australia,0,22,171680,33998.63,821089.57,56373.27
Patricia Garcia,chris.lee@example.com,Germany,1,22,39790.44,19503.61,277026.75,29148.19
